AreaCode,AreaName,PropertyValuation,AnnualRent,PredVal,PredRent,InvestmentScore,ValScore,YieldScore,RentScore,LocScore,ValDiffPct,RentDiffPct,RentalYield,LocPremium,Opportunity_Type
3,Dubai Marina,1063425,43383,1066701.72,44848.51,3.7889129249984177,0.4108385640736265,0.0,3.378074360924791,0.0,0.3081289230552199,3.378074360924791,4.079554270399887,-0.5177425841670014,Rental Upside
1,Business Bay,4846673,249108,4827953.65,251371.76,0.9087464071808249,0.0,0.0,0.9087464071808249,0.0,-0.38623092583303287,0.9087464071808249,5.139773201121677,-0.6059910825123598,Rental Upside
0,Arabian Ranches,4567880,188994,4610356.046666667,189959.37,1.7506411192359415,1.239847125775834,0.0,0.5107939934601075,0.0,0.9298853443318753,0.5107939934601075,4.137455449792902,-0.342930580976737,Undervalued
1,Business Bay,4907785,291723,4850971.753333333,288410.815,0.0,0.0,0.0,0.0,0.0,-1.1576148235235866,-1.1353869938263346,5.9440867927181,-0.24157662924149526,Balanced
2,Downtown,782776,53453,782764.6266666667,53096.195,0.0,0.0,0.0,0.0,0.0,-0.0014529486511202408,-0.6675116457448605,6.828645742843419,-0.6205880139901906,Balanced
0,Arabian Ranches,1407207,98391,1411319.0466666666,99076.26,1.0860839355086471,0.38961779531290297,0.0,0.6964661401957442,0.0,0.2922133464846772,0.6964661401957443,6.991935088441147,-0.5678279001438487,Rental Upside
2,Downtown,528062,29886,537432.46,30173.395,3.327637508072137,2.365999952025826,0.0,0.9616375560463108,0.0,1.7744999640193695,0.9616375560463108,5.659562702864437,-0.6064629406426745,Undervalued
5,Jvc,3882506,167694,3909243.7933333335,172582.085,3.8331151063897972,0.918231449252397,0.0,2.9148836571374,0.0,0.6886735869392977,2.9148836571374,4.319220627089823,-0.4289156303780274,Rental Upside
4,Jlt,2588792,131742,2595124.0433333335,133458.79,1.629271567018293,0.3261260249739879,0.0,1.303145542044305,0.0,0.24459451873049096,1.303145542044305,5.088937234045841,-0.6017735509702469,Rental Upside
4,Jlt,1301528,58508,1291368.6533333333,59004.155,0.8480122376427136,0.0,0.0,0.8480122376427136,0.0,-0.7805707342958952,0.8480122376427136,4.495331640963545,-0.3634970913722543,Rental Upside
7,The Springs,3043117,127569,3013869.55,138955.355,8.925644161199045,0.0,0.0,8.925644161199045,0.0,-0.9611017256319816,8.925644161199045,4.192050453531691,-0.5423637965550585,Rental Upside
5,Jvc,775541,46586,791853.56,46682.385,3.0114011324311307,2.8045042106091196,0.0,0.206896921822011,0.0,2.10337815795684,0.206896921822011,6.006903567960946,-0.6111474572680813,Undervalued
1,Business Bay,2019478,124949,2020093.73,123552.605,0.04065274953890602,0.04065274953890602,0.0,0.0,0.0,0.030489562154179514,-1.1175719693635036,6.187192928073492,-0.5311340800519384,Undervalued
3,Dubai Marina,1701607,115195,1691635.38,113938.26,0.0,0.0,0.0,0.0,0.0,-0.5860119287238541,-1.0909674899084207,6.769777040174377,-0.6070239613170526,Balanced
6,Palm Jumeirah,4983050,223933,5049517.46,227973.135,3.582666033985306,1.7784946970229065,0.0,1.8041713369623993,0.0,1.33387102276718,1.8041713369623993,4.493894301682704,-0.25651731554259305,Rental Upside
5,Jvc,3626906,151296,3633014.2333333334,154434.16,2.298738285341085,0.2245525831414212,0.0,2.074185702199664,0.0,0.1684144373560659,2.074185702199664,4.171489418253464,-0.32397563759962,Rental Upside
6,Palm Jumeirah,1333797,77140,1357322.0166666666,79167.09,4.97949045403044,2.3516838686013544,0.0,2.6278065854290853,0.0,1.7637629014510159,2.6278065854290853,5.783488791772661,-0.6082787753192431,Rental Upside
3,Dubai Marina,1940159,104219,1939879.77,104565.245,0.3322282885078492,0.0,0.0,0.3322282885078492,0.0,-0.014392119408769145,0.3322282885078492,5.371673146376148,-0.4687793227308642,Rental Upside
3,Dubai Marina,1664679,74465,1653080.74,74541.45,0.10266568186395902,0.0,0.0,0.10266568186395902,0.0,-0.6967265160430335,0.10266568186395902,4.473234779798387,-0.5651969681782265,Rental Upside
4,Jlt,8155037,501766,8172967.326666667,495421.62,0.29315749545002473,0.29315749545002473,0.0,0.0,0.0,0.21986812158751853,-1.264410103514388,6.152835358073789,-0.38648943261726354,Undervalued
1,Business Bay,8612620,412188,8280139.053333334,407661.725,0.0,0.0,0.0,0.0,0.0,-3.8603926176548633,-1.0981093578658339,4.785860748529483,-0.3723907378810961,Balanced
6,Palm Jumeirah,1330882,54905,1320339.0033333334,54311.51,0.0,0.0,0.0,0.0,0.0,-0.7921811750903976,-1.0809398051179273,4.125459657580461,-0.5441439715997173,Balanced
0,Arabian Ranches,5709597,395596,5777697.703333333,399614.24,2.6060646436121195,1.590321309503587,0.0,1.0157433341085325,0.0,1.1927409821276902,1.0157433341085325,6.928615101906492,-0.2730414121747602,Undervalued
2,Downtown,2990685,160926,3163962.6133333333,169242.13,12.89288738942265,7.725214048881032,0.0,5.167673340541619,0.0,5.793910536660774,5.167673340541619,5.380907718465836,-0.29401206380317424,Undervalued
4,Jlt,3352588,218956,3369660.3333333335,223645.63,2.820785203795294,0.6789713233809618,0.0,2.141813880414332,0.0,0.5092284925357213,2.141813880414332,6.530954593883889,-0.35387191828734277,Rental Upside
0,Arabian Ranches,1864254,124877,1873231.9033333333,128723.485,3.7223276704963446,0.6421087350638787,0.0,3.080218935432466,0.0,0.48158155129790897,3.080218935432466,6.698497093207257,-0.6001237176547206,Rental Upside
1,Business Bay,2361512,115736,2379063.89,114068.16,0.99099729325958,0.99099729325958,0.0,0.0,0.0,0.743247969944685,-1.4410727863413255,4.900927880103934,-0.44283724918862966,Undervalued
4,Jlt,4626504,300777,4643574.4366666665,292173.535,0.4919607163902169,0.4919607163902169,0.0,0.0,0.0,0.36897053729266266,-2.8604131964877717,6.5011723755129145,-0.47328864710974117,Undervalued
4,Jlt,982830,54511,992357.1966666667,54572.345,1.4050217729830679,1.2924848538291336,0.0,0.11253691915393436,0.0,0.9693636403718503,0.11253691915393436,5.546330494592147,-0.6646743534077468,Undervalued
0,Arabian Ranches,2062677,137341,2042532.1566666667,135295.55,0.0,0.0,0.0,0.0,0.0,-0.9766358636535564,-1.4893221980326425,6.658386165163038,-0.5351896508972156,Balanced
1,Business Bay,5149247,292076,5281007.116666666,293675.905,3.959534103621871,3.4117640026892277,0.0,0.5477701009326436,0.0,2.5588230020169207,0.5477701009326436,5.672207994683495,-0.4477518226492787,Undervalued
3,Dubai Marina,1853423,89556,1847525.3466666667,88945.09,0.0,0.0,0.0,0.0,0.0,-0.31820330994777346,-0.6821541828576573,4.831924498616883,-0.40087487178431713,Balanced
6,Palm Jumeirah,5414074,331301,5379398.726666667,324343.595,0.0,0.0,0.0,0.0,0.0,-0.6404654486313529,-2.1000253545869247,6.119255111769806,-0.3475693813781996,Balanced
3,Dubai Marina,1011184,52277,1022021.0133333333,51891.55,1.4289536930085007,1.4289536930085007,0.0,0.0,0.0,1.0717152697563754,-0.7373223406086751,5.169880061393377,-0.5899726543957632,Undervalued
7,The Springs,2367268,123404,2355984.86,122401.155,0.0,0.0,0.0,0.0,0.0,-0.4766312897399082,-0.8126519399695319,5.212928996632405,-0.45702626858990714,Balanced
2,Downtown,1752436,90028,1716083.9733333334,94999.58,5.522259741413784,0.0,0.0,5.522259741413784,0.0,-2.074371142036948,5.522259741413784,5.137306012887204,-0.628667885745374,Rental Upside
1,Business Bay,798837,32697,807201.9633333334,35553.135,10.131349456072863,1.3961902671564417,0.0,8.735159188916422,0.0,1.0471427003673313,8.735159188916422,4.093075308229338,-0.6802343880170238,Rental Upside
1,Business Bay,579261,26086,590632.3366666667,27729.345,8.917155513217647,2.617435356811908,0.0,6.299720156405739,0.0,1.963076517608931,6.299720156405739,4.503324062900834,-0.42636712075482464,Rental Upside
3,Dubai Marina,5168912,244414,5171185.02,252421.745,3.334936830390327,0.058633099834795734,0.0,3.276303730555531,0.0,0.0439748248760968,3.276303730555531,4.72853861702424,-0.2879045479076293,Rental Upside
4,Jlt,2461523,129480,2496285.42,135873.57,6.820858542535668,1.8829762441111961,0.0,4.937882298424472,0.0,1.412232183083397,4.937882298424472,5.260158040367691,-0.6451024831859296,Rental Upside
6,Palm Jumeirah,1223036,79218,1234791.9333333333,78783.64,1.281612133884677,1.281612133884677,0.0,0.0,0.0,0.9612091004135077,-0.5483097275871653,6.477160116300746,-0.5318856742154361,Undervalued
4,Jlt,784465,50154,791354.0066666667,50126.8,1.170905294974573,1.170905294974573,0.0,0.0,0.0,0.8781789712309297,-0.05423296247556943,6.39340187261382,-0.6201908964355798,Undervalued
0,Arabian Ranches,2029029,120477,2033928.49,119350.77,0.32195958428062493,0.32195958428062493,0.0,0.0,0.0,0.2414696882104687,-0.9348091336935647,5.937667721851191,-0.45301983792226475,Undervalued
6,Palm Jumeirah,424127,29646,501457.93333333335,30207.06,26.203153720800795,24.310621844662357,0.0,1.892531876138438,0.0,18.23296638349677,1.892531876138438,6.989887462953313,-0.5742006447118689,Undervalued
0,Arabian Ranches,1160360,63269,1166362.9266666668,63289.94,0.7228742792539914,0.6897775020013047,0.0,0.03309677725268667,0.0,0.5173331265009785,0.03309677725268667,5.452531972836017,-0.6187006154375463,Undervalued
4,Jlt,2399424,163935,2397869.5566666666,160278.65,0.0,0.0,0.0,0.0,0.0,-0.06478402038711616,-2.2303656937200755,6.832264743538449,-0.5230473375149068,Balanced
6,Palm Jumeirah,322687,19000,332226.01,19656.69,7.397754448216315,3.9414912903215855,0.0,3.4562631578947296,0.0,2.956118467741189,3.4562631578947296,5.888058707044287,-0.6684180545614066,Undervalued
5,Jvc,2214399,108329,2206646.05,108880.89,0.5094573013689773,0.0,0.0,0.5094573013689773,0.0,-0.3501153134552619,0.5094573013689773,4.89202713693422,-0.37689319304143787,Rental Upside
7,The Springs,1907603,85262,1901244.23,86010.475,0.8778529708428207,0.0,0.0,0.8778529708428207,0.0,-0.33333822603550206,0.8778529708428207,4.469588273870402,-0.5014486659017972,Rental Upside
7,The Springs,2325632,147991,2251237.6166666667,146034.94,0.0,0.0,0.0,0.0,0.0,-3.1988888755114004,-1.3217425383976036,6.3634745307942095,-0.37151057588647773,Balanced
1,Business Bay,2176985,115760,2165638.8466666667,116807.55,0.9049326192121655,0.0,0.0,0.9049326192121655,0.0,-0.521186564598898,0.9049326192121655,5.3174459171744415,-0.37246039547499576,Rental Upside
6,Palm Jumeirah,9454414,615281,8545734.21,460877.12,0.0,0.0,0.0,0.0,0.0,-9.611169872611873,-25.09485584635313,6.507870292119638,-0.23054667040519772,Balanced
5,Jvc,3925170,252888,3922266.4633333334,251758.02,0.0,0.0,0.0,0.0,0.0,-0.07397225258184037,-0.44683021732941475,6.4427273213644245,-0.46027030481754005,Balanced
3,Dubai Marina,1669654,94340,1649265.0133333334,93696.38,0.0,0.0,0.0,0.0,0.0,-1.2211504100051014,-0.6822344710621108,5.650272451657648,-0.41006203279463926,Balanced
6,Palm Jumeirah,1195521,70251,1260495.6366666667,72981.98,11.133912130842948,7.246451454126607,0.0,3.8874606767163398,0.0,5.434838590594955,3.88746067671634,5.876182852496945,-0.43001940369117,Undervalued
5,Jvc,1740104,74469,1763217.8933333333,76353.16,4.301200338366377,1.771073708493539,0.0,2.530126629872838,0.0,1.3283052813701544,2.530126629872838,4.279571795708762,-0.5013583233032822,Rental Upside
3,Dubai Marina,919996,50827,851483.64,46473.715,0.0,0.0,0.0,0.0,0.0,-7.447028030556653,-8.564906447360663,5.524697933469276,-0.37222458906975453,Balanced
2,Downtown,3037467,151791,3066789.2,152024.245,1.4407958170037443,1.2871338739372942,0.0,0.15366194306645015,0.0,0.9653504054529707,0.15366194306645015,4.997288859434523,-0.43910862842904064,Undervalued
